"","authors","title","Published.Year","journal","DOI","abstract"
"144","Rota, E.; Caruso, T.; Bargagli, R.","Community structure, diversity and spatial organization of enchytraeids in Mediterranean urban holm oak stands",2014,"European Journal of Soil Biology","10.1016/j.ejsobi.2014.02.016","There is a strong northern bias in Europe as regards enchytraeid community ecology, particularly in urban settings. We approached the enchytraeid assemblages of urban holm oak stands in Naples and Siena adopting a high intensity sampling that, for the first time in the Mediterranean climate zone, would ensure that the data collected be representative of the target populations. Structural parameters (diversity and evenness, biomass, size classes, aggregation) were compared across different spatial (regional, urban district, within habitat) and temporal scales (season and year). Species richness was found to change significantly only at regional scale; background data suggest that this may depend on the higher environmental heterogeneity occurring at Naples. Differences in size class structure were significant only on a seasonal scale and within either city separately. With one exception (Fridericia bulbosa s.s.), the patterns of spatial aggregation of the common species were fairly robust and the total range of patchiness was consistent with previous studies, despite the different sampling methodologies. The size of the sampling unit, the number of replicates per plot and the number of plots proposed in this study appear suitable to obviate the difficulties of evaluating Mediterranean enchytraeid communities. (C) 2014 Elsevier Masson SAS. All rights reserved."
"145","Stamou, G. P.; Argyropoulou, M. D.","A PRELIMINARY-STUDY ON THE EFFECT OF CU, PB AND ZN CONTAMINATION OF SOILS ON COMMUNITY STRUCTURE AND CERTAIN LIFE-HISTORY TRAITS OF ORIBATIDS FROM URBAN AREAS",1995,"Experimental & Applied Acarology","10.1007/bf00145155","The effect of pollution of urban soils by traffic exhausts on oribatid mites was studied along a traffic gradient of the city of Thessaloniki. Although the population density of the main orbatid species appeared increased in polluted areas, the total oribatid numbers were reduced due to the reduction in species richness. The highest species diversity was recorded in moderately polluted areas. The morphometric characteristics as well as certain life-history traits did no correlate with the level of traffic influence. Nevertheless, these characteristics were considered important for the understanding of the pollution impact on life in soils. Moderate body size, sexual reproduction, increased reproductive effort and wide habitat preferences characterize species in urban sites. Scheloribates latipes and Tectocepheus sarekensis can be used as bioindicators for Pb and Zn pollution of soils, respectively."
"146","Pizl, V.; Josens, G.","EARTHWORM COMMUNITIES ALONG A GRADIENT OF URBANIZATION",1995,"Environmental Pollution","10.1016/0269-7491(94)00097-w","Earthworms were studied at six sites along a gradient of urbanization and their relations with several soil abiotic factors were determined. Concentrations. of heavy metals, calcium and magnesium in earthworms and in soils were measured by atomic absorption spectroscopy. Strong negative correlations were detected between earthworm density and soil concentrations of cadmium and magnesium. Earthworm biomass was negatively correlated with lead, copper and zinc, and positively correlated with the distance from the centre of the city. High concentrations of Cd and Zn (concentration factors 49 and 32) were accumulated by earthworms in contrast to those of Cu and Pb (2 and 1). Relations between worm and soil concentrations of heavy metals, Ca and Mg are discussed."
"147","Pattison, A. B.; Badcock, K.; Sikora, R. A.","Influence of soil organic amendments on suppression of the burrowing nematode, Radopholus similis, on the growth of bananas",2011,"Australasian Plant Pathology","10.1007/s13313-011-0055-9","Radopholus similis is a major constraint to banana production in Australia and growers have relied on nematicides to manage production losses. The use of organic amendments is one method that may reduce the need for nematicides, but there is limited knowledge of the influence of organic amendments on endo-migratory nematodes, such as R. similis. Nine different amendments, namely, mill mud, mill ash, biosolids, municipal waste compost, banana residue, grass hay, legume hay, molasses and calcium silicate were applied to the three major soil types of the wet tropics region used for banana production. The nutrient content of the amendments was also determined. Banana plants were inoculated with R. similis and grown in the soil-amendment mix for 12-weeks in a glasshouse experiment. Assessments of plant growth, plant-parasitic nematodes and soil nematode community characteristics were made at the termination of the experiment. Significant suppression of plant-parasitic nematodes occurred in soils amended with legume hay, grass hay, banana residue and mill mud relative to untreated soil. These amendments were found to have the highest N and C content. The application of banana residue and mill mud significantly increased shoot dry weight at the termination of the experiment relative to untreated soil. Furthermore, the applications of banana residue, grass hay, mill mud and municipal waste compost increased the potential for suppression of plant-parasitic nematodes through antagonistic activity. The application of amendments that are high in C and N appeared to be able to induce suppression of plant-parasitic nematodes in bananas, by developing a more favourable environment for antagonistic organisms."
"148","Paton, G. I.; Viventsova, E.; Kumpene, J.; Wilson, M. J.; Weitz, H. J.; Dawson, J. J. C.","An ecotoxicity assessment of contaminated forest soils from the Kola Peninsula",2006,"Science of the Total Environment","10.1016/j.scitotenv.2005.04.036","Point source copper and nickel contamination emanating from smelters of the Kola Peninsula, NW Russia, has been observed since the mid- 1960s. Previous studies have concentrated on the spatial distribution of heavy metals and their effects on forest ecology and indigenous mammals and birds. Soil is perceived as the major repository for the metal pollutants but there is a need to link the soil concentration of pollutants on the Kola Peninsula with biological parameters. Many standard methods currently used in soil ecotoxicology are developed and refined with artificial amendments and rarely modified for use in historically contaminated environments. In this study, forest soils were sampled along a 34 kin transect from the smelter and analysed both chemically and with a range of ecologically relevant biological tests. Soil respiration, total nematode count, microbial heterotrophic numbers and minimal inhibitory concentrations to copper and nickel were carried out on bulk soil. The soil pore water was tested with bacterial and fungal bioluminescence-based biosensors. The heterotrophic numbers and their inhibitory concentration showed strong correlation with heavy metal concentrations while decreasing biosensor luminescence was related to increasing copper concentrations present in the pore waters. Overall, there were considerable impacts on some microbial parameters but other measures including respiration and nematode populations were insensitive to pollutant levels. While chemical analysis of heavy metals proved essential in defining the extent of contamination, environmentally relevant ecotoxicological tests complemented these data by demonstrating pollutant impact. Ecotoxicological approaches that study both the bulk soil and pore water may represent the key to understanding the fate of heavy metal in soils. (c) 2005 Elsevier B.V. All rights reserved."
"149","Pastor, J.; Hernandez, A. J.","Heavy metals, salts and organic residues in old solid urban waste landfills and surface waters in their discharge areas: Determinants for restoring their impact",2012,"Journal of Environmental Management","10.1016/j.jenvman.2011.06.048","This study was designed to determine the state of polluted soils in the main landfills of the Community of Madrid (central Spain), as part of a continuous assessment of the impacts of urban solid waste (USW) landfills that were capped with a layer of soil 20 years ago. Our analysis of this problem has been highly conditioned by the constant re-use of many of the USW landfills, since they have never been the target of any specific restoration plan. Our periodical analysis of cover soils and soils from discharge areas of the landfills indicates soil pollution has worsened over the years. Here, we examined heavy metal, salts, and organic compounds in soil and surface water samples taken from 15 landfills in the Madrid region. Impacts of the landfill soil covers on nematode and plant diversity were also evaluated. These analyses continue to reveal the presence of heavy metals (Zn, Cu, Cr, Ni, Pb, Cd) in soils, and salts (sulphates, chlorides and nitrates) in soils and surface waters. In addition, non-agricultural organic compounds, mainly aromatic and aliphatic hydrocarbons, often appeared in very high concentrations, and high levels of insecticides such as gamma-HCH (lindane) were also detected in soils. Around 50% of the water samples collected showed chemical demand of oxygen (COO) values in excess of 150 mg/l. Traces of phenolic compounds were detected in some landfills, some of which exhibited high levels of 2-chlorophenol and pentachlorophenol. All these factors are conditioning both the revegetation of the landfill systems and the remediation of their slopes and terrestrial ecosystems arising in their discharge areas. This work updates the current situation and discusses risks for the health of the ecosystems, humans, domestic animals and wildlife living close to these landfills. (C) 2011 Elsevier Ltd. All rights reserved."
"150","Parmelee, R. W.; Wentsel, R. S.; Phillips, C. T.; Simini, M.; Checkai, R. T.","SOIL MICROCOSM FOR TESTING THE EFFECTS OF CHEMICAL-POLLUTANTS ON SOIL FAUNA COMMUNITIES AND TROPHIC STRUCTURE",1993,"Environmental Toxicology and Chemistry","10.1897/1552-8618(1993)12[1477:smftte]2.0.co;2","A microcosm technique is presented that uses community and trophic-level analysis of soil nematodes and microarthropods to determine the effects of chemicals on soil systems. Forest soil was treated with either copper (0, 100, 200, 400, and 600 mug g-1), p-nitrophenol (0, 20, 40, 80, and 160 mug g-1), or trinitrotoluene (0, 25, 50, 100, and 200 mug g-1). Nematodes were sorted into bacterivore, fungivore, herbivore, and omnivore-predator trophic groups, and a hatchling category. Microarthropods were sorted to the acarine suborders Prostigmata, Mesostigmata, and Oribatida; the insectan order Collembola; and a miscellaneous group. Omnivore-predator nematodes and meso-stigmatid and oribatid mites were the groups most sensitive to copper and were significantly reduced at levels as low as 100 mug g-1 copper. Total nematode and microarthropod numbers declined above 200 mug g-1 copper. Trophic structure analysis suggested that high sensitivity of nematode predators to intermediate levels of copper reduced predation on herbivore nematodes and resulted in greater numbers of nematodes compared to controls. p-Nitrophenol was very toxic to the nematode community, and all trophic groups were significantly reduced above 20 mug g-1. However, there was no effect of p-nitrophenol on microarthropods. Trinitrotoluene had no significant negative effect on total abundance of either group of soil fauna, but oribatids were significantly reduced at 200 mug g-1. Our results demonstrated that soil nematodes and microarthropods were sensitive indicators of environmental contaminants and that trophic-structure and community analysis has the potential to detect more subtle indirect effects of chemicals on soil food-web structure. We conclude that microcosms with field communities of soil microfauna offer high resolution of the ecotoxicological effects of chemicals in complex soil systems."
"151","Park, B. Y.; Lee, J. K.; Ro, H. M.; Kim, Y. H.","Short-Term Effects of Low-Level Heavy Metal Contamination on Soil Health Analyzed by Nematode Community Structure",2016,"Plant Pathology Journal","10.5423/ppj.oa.12.2015.0272","The short-term effects of low-level contamination by heavy metals (As, Cd, Cu, and Pb) on the soil health were examined by analyzing soil nematode community in soils planted with tomatoes. For this, the soils were irrigated with five metal concentrations ([1, 1/4, 1/4(2), 1/4(3), and 0] x maximum concentrations [MC] detected in irrigation waters near abandoned mine sites) for 18 weeks. Heavy metal concentrations were significantly increased in soils irrigated with MC of heavy metals, among which As and Cu exceeded the maximum heavy metal residue contents of soil approved in Korea. In no heavy metal treatment controls, nematode abundances for all trophic groups (except omnivorous-predatory nematodes [OP]) and colonizer-persister (cp) values (except cp-4-5) were significantly increased, and all maturity indices (except maturity index [MI] of plant-parasitic nematodes) and structure index (SI) were significantly decreased, suggesting the soil environments might have been disturbed during 18 weeks of tomato growth. There were no concentration-dependent significant decreases in richness, abundance, or MI for most heavy metals; however, their significant decreases occurred in abundance and richness of OP and cp-4, MI2-5 (excluding cp-1) and SI, indicating disturbed soil ecosystems, at the higher concentrations (MC and MC/4) of Pb that had the most significant negative correlation coefficients for heavy metal concentrations and nematode community among the heavy metals. Therefore, the short-term effects of low-level heavy metal contamination on soil health can be analyzed by nematode community structures before the appearance of plant damages caused by the abiotic agents, heavy metals."
"152","Park, B. Y.; Lee, J. K.; Ro, H. M.; Kim, Y. H.","Effects of heavy metal contamination from an abandoned mine on nematode community structure as an indicator of soil ecosystem health",2011,"Applied Soil Ecology","10.1016/j.apsoil.2011.08.006","Soil nematode community structure reflects soil ecosystem health and is influenced by the soil environment directly and/or indirectly by affecting the soil micro-flora and fauna that they graze. In this study, ecological indices for soil nematode community structure and microbial populations in soils contaminated with mine drainage (CS) from an abandoned mine and of a nearby non-contaminated area (NC) were examined during the seven seasons from July 2007 through December 2008 to reveal influences of mine drainage (especially heavy metals) on the soil nematode community structure. Of the soil physicochemical characteristics measured, nutritional properties such as organic matter content, nitrogen content, and soluble cations were not significantly different between CS and NC; however, significant differences were detected in pH, electrical conductivity (EC), available phosphorus (av.P(2)O(5)), and most strikingly, the concentrations of heavy metals such as Cd, Pb, Zn, and Ni. Nematodes were less abundant in CS than in NC, especially for long-living persistor-type nematodes. Comparison of ecological indices between CS and NC indicates that abundance, maturity, richness, and diversity of the soil nematode community were decreased in CS soil, indicating that soil health and function were adversely affected. Of the weighted-soil food-web indices, the structural index (SI) of the soil nematode community was significantly lower in CS than in NC, while no significant difference in the enrichment index (El) was observed between CS and NC, suggesting that the heavy metal contamination may have disturbed the soil ecosystem by suppressing biological activity. Seasonal changes in the ecological indices during the study period showed that the discrepancies between CS and NC persisted throughout most of the seasons, suggesting that the effect of mine drainage (heavy metal) contamination on nematode community structure may be little influenced by seasonal changes in environmental conditions. (C) 2011 Elsevier B.V. All rights reserved."
"153","Parfitt, R. L.; Yeates, G. W.; Ross, D. J.; Schon, N. L.; Mackay, A. D.; Wardle, D. A.","Effect of fertilizer, herbicide and grazing management of pastures on plant and soil communities",2010,"Applied Soil Ecology","10.1016/j.apsoil.2010.03.010","Increases in fertilizer inputs and livestock numbers affect plant species composition and richness; this in turn can affect the biodiversity of soil fauna and nutrient cycling in pastures. We selected two adjacent farmlets to study these effects. Since 1980, one farmlet (LF) had not received superphosphate fertilizer (SSP) and has a low stock density of sheep, and the other (HF) had received 37.5 g SSP m(-2) y(-1) and has a high stock density. In 2004, at both farmlets, we commenced treatments for 4 years, adding urea to raise N status, and non-residual selective herbicide to remove broadleaf species. Long-term SSP addition and increased sheep numbers, and added urea increased herbage production but reduced plant diversity. The effect of treatments on most of the soil biochemical and biological properties varied between years. This may have partly arisen from an infestation with Wiseana caterpillars in the first winter, causing resources to be low and total soil carbon (C) to be reduced by 4-8%; total C did, however, recover in later years. The urea and herbicide treatments caused greater changes above-ground than below-ground, but they did reduce soil microbial C and N and nematode diversity; urea at LF increased mineralizable N to the levels found at HF. On an area basis, HF generally had higher total C and N. earthworm and nematode numbers (including bacterial feeders, predators and omnivores), and nematode diversity, and greater values for the nematode channel ratio, than did LF. In contrast, the ratios of microbial C/total C and microbial N/total N, total mite numbers (including Oribatida, but not other mite groups), and fungal-feeding nematode numbers were higher at LF than at HF. Canonical correlation analysis suggested the plant and soil nematode communities responded in tandem and in predictable ways to the same environmental factors. Increased quantity and quality of inputs disadvantaged the fungal-based energy channel, with a measurable decline in the quantity of fungal phospholipid fatty acids (PLFAs). While the quantity of bacterial PLFAs appeared to be unaffected by greater plant-derived inputs, the greater numbers of bacterial-feeding nematodes at the HF farmlet suggests the activity and flow of energy and nutrients through the bacterial community would be more important in the HF than the LF farmlet. Overall our results suggest the shift from fungal to bacterial pathways may lead to soil microbial/microfaunal interactions that retain less reactive N within soil biomass, with a consequent greater risk of N loss. (C) 2010 Elsevier B.V. All rights reserved."
"154","Overstreet, L. F.; Hoyt, G. D.; Imbriani, J.","Comparing nematode and earthworm communities under combinations of conventional and conservation vegetable production practices",2010,"Soil & Tillage Research","10.1016/j.still.2010.06.009","Although reduced tillage, organic inputs and diverse cropping rotations are often promoted as practices that facilitate greater abundance and diversity of soil biota, rarely have these management systems been examined in concert to investigate their individual and cumulative long-term effects on soil invertebrates. This study investigated two key functional groups of soil invertebrates, nematodes and earthworms, after 10 years in a field experiment investigating three types of agricultural management practices. Agricultural management treatments were tillage (moldboard plow vs. strip tillage), inputs (synthetic fertilizers, pesticides and fumigation vs. inputs approved for organic production) and crop rotation (continuous tomatoes (Solanum lycopersicum L) vs. diverse vegetable rotation). The experiment was established in western NC (United States) on a fine-sandy loam (FAO: Acrisol). Nematode sampling and earthworm extractions were performed in spring and fall of 2004. The rotation effect on nematode and earthworm populations was generally non-significant. Averaged over sampling dates and other treatments, total nematode counts for synthetic input treatments were 59% of organic input treatments; likewise, plow treatments were 52% of strip till treatments. The strip till organic treatment combination (strip tillage with organic inputs) resulted in over four times as many nematodes as the plow synthetic treatment combination (moldboard plow with synthetic inputs). These data demonstrate that while nematode abundance responds sensitively to tillage and input practices individually, combinations of treatments displayed consistently greater nematode abundance when organic inputs and strip tillage were applied together. Long-term strip tillage increased earthworm populations 31-fold compared to plowed treatments. Organic inputs resulted in more earthworms than synthetic inputs in spring, but not fall. Strip tillage increased earthworm populations far more effectively than organic inputs. Even so, earthworms also displayed the positive combination effect of strip tillage and organic inputs; on average, 24 earthworms m(-2) were extracted from strip till organic treatments vs. 15 from strip till synthetic and just one from plow organic treatments. We conclude that the data support our hypothesis; there is a positive combination effect resulting in greater nematode and earthworm abundance when strip tillage and organic inputs are used together in agricultural production systems. These results confirm the long-term benefits of conservation practices observed in agricultural ecosystems and we suggest that the principle of compounded benefits from combinations of conservation practices extend to all managed ecosystems. We recommend that agricultural researchers consider both tillage and agricultural inputs when interpreting or predicting soil biological responses to agricultural management decisions. Published by Elsevier B.V."
"155","Pen-Mouratov, S.; Steinberger, Y.","Responses of nematode community structure to pesticide treatments in an arid ecosystem of the Negev Desert",2005,"Nematology","10.1163/1568541054879476","The aim of this study was to determine the effect of pesticides on free-living soil nematodes in a desert system. Spatial and temporal distributions as well as changes in nematode community structure were investigated. Soil samples were collected monthly between November 2000 and November 2001 from four plots: one treated with Nemacur, one with Edigan, one with water and one untreated plot as control. The nematode population as well as spatial distribution was found to be affected by treatments on a temporal basis. The different treatments applied led to a significant difference in the abundance of nematode trophic groups, where the fungivores and bacterivores were found to decrease in the pesticide-treated samples. A total of 31 genera were found in the samples, with 21 in the Nemacur-treated sample and 16 in the Edigan-treated sample. Ecological indices such as trophic diversity, maturity index and Shannon index elucidated the effect of pesticides on density, diversity and trophic group composition."
"156","Pen-Mouratov, S.; Shukurov, N.; Yu, J.; Rakhmonkulova, S.; Kodirov, O.; Barness, G.; Kersten, M.; Steinberger, Y.","Successive development of soil ecosystems at abandoned coal-ash landfills",2014,"Ecotoxicology","10.1007/s10646-014-1227-5","The main goal of the present study was to determine the effect of the native vegetation on the successive development of the soil ecosystem at abandoned coal-ash landfills of the Angren coal-fired power plant in Uzbekistan. Two different landfills (one not in use for 3 years, termed newer, and the other not in use for 10 years, termed older) with different degrees of vegetation cover were chosen to assess the time and vegetation effects on soil biota and habitat development. The soil biotic structure, including soil microorganisms and soil free-living nematode communities, was investigated both at open plots and under different native plants at the coal-ash landfill area. The observed soil microorganisms were found to be the most important component of the observed ecosystems. Total abundance, biomass, species, trophic and sexual diversity of soil free-living nematodes, along with fungi and organic-matter content, were found to be correlated with trace metals. The nematode trophic and species abundance and diversity increased from the newer toward the older coal-ash landfills. The sex ratio of the nematode communities was found to be dependent on the environmental conditions of the study area, with the males being the most sensitive nematode group. All applied ecological indices confirmed that open landfill plots distant from plants are the most unfavorable areas for soil biota. In that respect, the native plants Alhagi maurorum Desv. and Tamarix sp. were found to be important environmental components for the natural remediation of a soil ecosystem in the coal-ash landfill area."
"157","Pen-Mouratov, S.; Shukurov, N.; Steinberger, Y.","Soil free-living nematodes as indicators of both industrial pollution and livestock activity in Central Asia",2010,"Ecological Indicators","10.1016/j.ecolind.2010.02.005","The effect of industrial pollution on soil free-living nematode communities, trophic groups, and taxon composition was investigated along an 18-km transect that included the Angren power plant, a gold-refinery plant, farm areas, and recreation areas. Soil samples were collected in May 2005 and October 2006 from the upper (0-10 and 10-20 cm) soil layers in downwind directions from the industrial complex emission sources of the Angren industrial sites. Direct and indirect (through soil property changes), separate and integrated effects of industrial pollution and livestock activity on the soil nematode community were found. The total number of nematodes was found to be negatively correlated with the amounts of chemical elements in soil and positively correlated with the calcium concentration in soil. The nematode communities, trophic diversity, and taxon composition were found to be affected by the variety and concentration of chemical elements. The widely used ecological indices applied in the present research were sensitive to environmental disturbances caused by industrial pollution as well as livestock activity. The Wasilewska index, nematode channel ratio, and maturity index were mostly affected by trace metal concentration, while the diversity indices and species richness were mostly affected by soil property changes. The nematode channel ratio indicated that the bacterial-based decomposition process was dominant in soils exposed to both strong industrial pollution and livestock activity. The diversity indices indicated the disappearance of rare species in the industrial area and an increase of the contribution of common nematodes with increasing depth and distance from the unfavorable area. The current study confirmed that the grazing in accompaniment to industrial pollution, intensify a negative effect on soil nematode communities. (C) 2010 Elsevier Ltd. All rights reserved."
"158","Pen-Mouratov, S.; Shukurov, N.; Steinberger, Y.","Influence of industrial heavy metal pollution on soil free-living nematode population",2008,"Environmental Pollution","10.1016/j.envpol.2007.05.007","The effect of distance from a heavy metal pollution source on the soil nematode community (trophic structure, sex structure, and taxa composition) was investigated along a 15-km transect originating at the Almalyk Industrial Complex, Uzbekistan (pollution source). The soil nematode community was exposed to heavy metal influence both directly and through soil properties changes. Pollution effect on the density and biomass of soil free-living nematodes was found to be highest at pollution source, with fungivores and plant parasites dominating at the upper and deeper soil layers next to the pollution source. These groups decreased along the transect, yielding domination to bacteria- and fungi-feeders. The sex ratio of nematode communities was found to be dependent on heavy metal pollution levels, with the juveniles being the most sensitive nematode group. The Maturity and modified Maturity Indices, reflecting the degree of disturbance of the soil ecosystem, were found to be the most sensitive indices. (c) 2007 Elsevier Ltd. All rights reserved."
"159","Pelosi, C.; Toutous, L.; Chiron, F.; Dubs, F.; Hedde, M.; Muratet, A.; Ponge, J. F.; Salmon, S.; Makowski, D.","Reduction of pesticide use can increase earthworm populations in wheat crops in a European temperate region",2013,"Agriculture Ecosystems & Environment","10.1016/j.agee.2013.10.003","Agricultural intensification has led to reduced soil biodiversity in arable lands. The potential benefits from organic farming and from low-input cropping systems have not yet been precisely assessed. Earthworm, having important agro-ecological functions, may be affected by pesticide applications, especially those species living mainly in the surface soil layer. We used a five-year experimental database including conventional and organic cropping systems to establish simple relationships between the Treatment Frequency Index - a phytosanitary indicator of pesticide pressure - and the abundance of three important earthworm species. We found that insecticides have more negative influence on earthworm species than herbicides and fungicides, and that species living in the soil's surface layer were the most affected by pesticides. Density of these earthworm species could be multiplied by a factor 1.5-4 if the Treatment Frequency Index was halved, as is currently required by some European regulations. Our results thus demonstrate that a reduction in pesticide application would increase earthworm population density in agricultural fields. (C) 2013 Elsevier B.V. All rights reserved."
"160","Osuji, L. C.; Adesiyan, S. O.; Obute, G. C.","Post-impact assessment of oil pollution in Agbada west plain of Niger Delta, Nigeria: Field reconnaissance and total extractable hydrocarbon content",2004,"Chemistry & Biodiversity","10.1002/cbdv.200490117","Typical post-impact assessment of an oil-spill-impacted site in Agbada west plain of the Niger Delta basin of Nigeria was carried out 13 months after recorded incidence of spillage, using empirical indices of reconnaissance and extractable hydrocarbon content. Field-reconnaissance surveys revealed lower species' numbers and diversity of surface and subterranean flora and fauna. The presence and absence of such plant species as Elaeis guineensis, Musanga cecropiodes, and Andropogon gayanus, as well as animal species like earthworms and nematodes in sampled plots, corroborated the evidence provided by the total extractable hydrocarbon content (of (2.53 +/- 0.43) x 10(2) mg/kg and (2.00 +/- 10.76) x 10(2) mg/kg at surface and subsurface depths, resp.) on the level of degradation and/or regeneration at the polluted site. The most important evidence that oiling must have been responsible, at least in part, for the reduction in species' number and diversity was provided by the plant cover, Andropogan gayanus, which occurred at a lower density of 0.9 plants/m(2) in the oil-impacted plots and 14.00 plants/m(2) in the unimpacted reference plots of an adjacent, geographically similar area. The presence of this species on site thus presented a significant difference (P < 0.05) of over 85%, and indicated exhaustion or impoverishment of impacted soils. Elaeis guineensis, with a population density of 0.1 stands/m(2), provided evidence of past cultivation on site, while species like Musanga cecropioides, with a density of 0.5 stands/m(2), at the unimpacted site, confirmed the abandonment of the farmstead over a long period of time. For the fauna, the most sensitive indicator of hydrocarbon toxicity was provided by nematode Xiphinema sp. that were completely absent in the oil-impacted site."
"161","Osler, G. H. R.; Westhorpe, D.; Oliver, I.","The short-term effects of endosulfan discharges on eucalypt floodplain soil microarthropods",2001,"Applied Soil Ecology","10.1016/s0929-1393(00)00127-x","The insecticide endosulfan is extensively used in the Australian cotton growing industry. Irrigation tailwater contaminated with endosulfan is released onto floodplains to avoid direct entry into river systems where endosulfan is highly toxic to fish. We examined the short-term effects of endosulfan, at levels likely to be present in tailwaters, on soil arthropods on such a floodplain near Moree, NSW. The study consisted of four treatments: a dry control (replicates untreated), wet control (replicates flooded with water only), 1 mug/l endosulfan and 10 mug/l endosulfan. Treatments were applied in the middle of summer and soil invertebrate samples were taken 1 week. 1 month and 2 months following treatment. Invertebrates were sorted to order level and oribatid mites to species. Endosulfan sulphate was detected in all treatments, including the two controls, most likely the result of spray drift. The focus of the experiment was therefore to explore the short-term impacts of endosulfan contaminated tailwater on communities that had been previously exposed to endosulfan. More than 7700 arthropods were collected from a total sample area of 0.336 m(2). The dominant groups were the prostigmatid and oribatid mites (35 species), collembolans and hemipterans. Our analyses did not detect any short-term effect of the endosulfan treatments on the number of individuals, spatial aggregations or community structure of the soil fauna. There were clear responses to changes in soil moisture related to treatment applications. The study, therefore, made two important findings: (1) a diverse and abundant soil fauna persists on floodplains exposed to endosulfan contaminated tailwater, and (2) this diverse and abundant soil fauna were unaffected by the addition of endosulfan at concentrations common to tailwater run-off from cotton fields. There is clearly a need to determine whether these findings can be extended to soil arthropod biodiversity in areas previously unexposed to endosulfan. (C) 2001 Elsevier Science B.V. All rights reserved."
"162","Paoletti, M. G.; Sommaggio, D.; Favretto, M. R.; Petruzzelli, G.; Pezzarossa, B.; Barbafieri, M.","Earthworms as useful bioindicators of agroecosystem sustainability in orchards and vineyards with different inputs",1998,"Applied Soil Ecology","10.1016/s0929-1393(98)00036-5","Earthworm communities were studied in 72 different agroecosystems including vineyards and three types of orchards: apple, peach and kiwi. Orchards had different agricultural inputs, in particular copper (namely, copper sulphate applied as fungicide), and soil cultivation. Heavy metals were analyzed together with other soil parameters (nutrients, bacteria and fungi). No differences were detected regarding microorganisms in orchards subjected to different agricultural practices. Copper concentration was higher in vineyards. Total earthworm abundance and biomass were severely reduced both by copper input and soil tillage. Individual species gave different responses to agricultural practices. Aporrectodea caliginosa was negatively affected by both copper concentration and soil cultivation, while Allolobophora chlorotica was negatively affected only by copper input. Lumbricus rubellus and Lumbricus castaneus were nearly absent in tilled orchards but apparently they were not much affected by copper input. Octodrilus lissaensis and Octodrilus pseudocomplanatus did not seem to be reduced by copper input and soil tillage. Species number and biomass were reduced both by tillage and copper input. Negative effects of tillage and fungicide residues (Cu, Zn) are clear enough factors to promote more extensive use of earthworms as reliable bioindicators in the rural landscape. (C) 1998 Elsevier Science B.V."
"163","Paoletti, M. G.; Schweigl, U.; Favretto, M. R.","SOIL MACROINVERTEBRATES, HEAVY-METALS AND ORGANOCHLORINES IN LOW AND HIGH INPUT APPLE ORCHARDS AND A COPPICED WOODLAND",1995,"Pedobiologia","","The Val d'Adige (Bolzano - Italy) is an area of dense apple cultivation. Three study sites were compared: a conventional apple orchard, an organic apple orchard and a coppiced, deciduous forest. Macroinvertebrates living on and within the soil were identified. The influence of the different agricultural practices on macroinvertebrates and the impact of heavy metals and organochlorine residues on the soil were evaluated. The results identify the detritivores as a group greatly affected by conventional agronomic practices; earthworms and isopods were significantly more abundant in the organic orchard and in the forest. With regard to predators, the greatest difference among the three study sites was found with carabids, which were caught in extremely low numbers in the conventional orchard. In contrast contrary, araneids were more abundant in the conventional orchard. From this research we found earthworms, isopods and carabids to be suitable bioindicators, as regards agricultural inputs; the abundance of araneids appears to be negatively associated with mechanical soil disturbance."
"164","Caixeta, L. B.; Pereira, T. J.; Castaneda, N. E. N.; Cares, J. E.","Nematode communities as indicators of the status of a soil ecosystem influenced by mining practices in Brazil",2016,"Nematology","10.1163/15685411-00002958","This study evaluated the effects of mining practices using soil nematodes as bioindicators. Soil samples represented four different subsystems found in the CeBio Research Center, including natural/undisturbed (rainforest (RF) and savannah (SA)) and disturbed (Eucalyptus spp. (EU) and grassland (GR)) subsystems. Ecological descriptors S (3.5-9.5), d (1.22-4.23) and MI (1.9-3.23) significantly differentiated the subsystem GR (high impact) from the other subsystems. Additionally, poorly covered soil (i.e., subsystem GR) negatively influenced the composition of nematode assemblages, and primarily so for nematodes with high c-p values. Among soil variables, pH strongly influenced the distribution of soil nematodes, negatively affecting the abundance of all c-p groups and diversity of nematodes. On the other hand, pH also positively affected FF and PP trophic groups in the subsystem GR. The similarity of subsystem EU and natural subsystems (RF and SA) suggests that soil restoration with Eucalyptus spp. appears to be an adequate management practice to promote the recovery of areas subjected to mining practices."
"165","Brmez, M.; Ivezic, M.; Raspudic, E.; Rozman, V.; Sudaric, T.","EFFECT OF CHEMICAL TREATMENTS ON SOIL NEMATODE COMMUNITY IN WINTER WHEAT FIELD",2008,"Cereal Research Communications","","Nematode communities were used as bioindicators of changes in agroecosystems caused by anthropogenic factors. The aim of this study was to examine the impact of chemical disturbances on nematode communities in the soil in winter wheat fields. The sampling was done three times, before disturbances, after fertilization and third time was after insecticides applications. Number of genera significantly decreased after disturbances caused by chemical application, while total number of nematodes did not change significantly in numbers. Maturity index (MI) showed significant differences between first and last sampling, as well as PPI/MI. Plant parasitic index (PPI) did not differ significantly between sampling periods."
